# Unicode Emoji 17.0 + CLDR 48.2 français
Visages et émotions	😀	visage rieur	content|dents|émoticône|grand sourire|heureux|joyeux|rire|sourire|super|visage|visage rieur|visage très souriant|grinning face|face smiling|Visages et émotions
Visages et émotions	😃	visage souriant avec de grands yeux	content|dents|émoticône|formidable|grand sourire|heureux|sourire|super|visage souriant avec de grands yeux|visage très souriant avec la bouche ouverte|grinning face with big eyes|face smiling|Visages et émotions
Visages et émotions	😄	visage très souriant aux yeux rieurs	content|émoticône|grand sourire|heureux|joyeux|lol|mdr|rire|sourire|sourire mignon|visage avec la bouche ouverte et les yeux souriants|visage très souriant aux yeux rieurs|grinning face with smiling eyes|face smiling|Visages et émotions
Visages et émotions	😁	visage souriant aux yeux rieurs	content|dents|émoticône|grand sourire|heureux|sourire|sourire de toutes ses dents|super|visage|visage souriant aux yeux rieurs|visage souriant avec yeux souriants|yeux souriants|beaming face with smiling eyes|face smiling|Visages et émotions
Visages et émotions	😆	visage souriant avec yeux plissés	ahah|bouche|content|émoticône|lol|mdr|rire|sourire|visage|visage souriant avec bouche ouverte et yeux fermés|visage souriant avec yeux plissés|grinning squinting face|face smiling|Visages et émotions
Visages et émotions	😅	visage souriant avec une goutte de sueur	émoticône|excité|froid|goutte|sourire|sourire nerveux|stressé|sueur|sueurs froides|visage souriant avec une goutte de sueur|grinning face with sweat|face smiling|Visages et émotions
Visages et émotions	🤣	se rouler par terre de rire	content|drôle|émoticône|hilare|joyeux|larmes|lol|mdr|pleurer de rire|rire|rire aux larmes|se rouler par terre|se rouler par terre de rire|se tordre de rire|visage|visage qui rit aux larmes|rolling on the floor laughing|face smiling|Visages et émotions
Visages et émotions	😂	visage riant aux larmes	content|émoticône|heureux|joie|larmes|lol|mdr|pleurer de joie|pleurer de rire|rire aux larmes|sourire|visage riant aux larmes|face with tears of joy|face smiling|Visages et émotions
Visages et émotions	🙂	visage avec un léger sourire	content|émoticône|heureux|léger sourire|sourire|visage avec un léger sourire|visage souriant|slightly smiling face|face smiling|Visages et émotions
Visages et émotions	🙃	tête à l’envers	émoticône|incroyable|renversée|tête|tête à l’envers|visage|upside-down face|face smiling|Visages et émotions
Visages et émotions	🫠	visage qui fond	disparaître|fondre|gêne|liquéfié|liquide|sarcasme|se dissoudre|visage qui fond|melting face|face smiling|Visages et émotions
Visages et émotions	😉	visage faisant un clin d’œil	blague|clin d’œil|émoticône|flirter|plaisanter|sexy|visage|visage faisant un clin d’œil|winking face|face smiling|Visages et émotions
Visages et émotions	😊	visage souriant avec yeux rieurs	content|émoticône|heureux|œil|rougir|satisfait|sourire|visage|visage qui rougit|visage souriant avec yeux rieurs|visage souriant avec yeux souriants|yeux|smiling face with smiling eyes|face smiling|Visages et émotions
Visages et émotions	😇	visage souriant avec auréole	ange|angélique|auréole|béni|Bible|émoticône|heureux|innocent|paix|sourire|spirituel|visage souriant avec auréole|smiling face with halo|face smiling|Visages et émotions
Visages et émotions	🥰	visage souriant avec cœurs	adorer|aimer|amour|béguin|coeur|cœurs|j’adore|Je t’aime|smiley avec 3 coeurs|sourire|visage souriant avec cœurs|smiling face with hearts|face affection|Visages et émotions
Visages et émotions	😍	visage souriant avec yeux en forme de cœur	amour|amoureux|cœur|émoticône|œil|romantique|sourire|visage|visage souriant avec yeux en forme de cœur|yeux|smiling face with heart-eyes|face affection|Visages et émotions
Visages et émotions	🤩	visage avec des étoiles à la place des yeux	étoile|étoiles dans les yeux|grand sourire|heureux|pressé|surexcité|tête avec étoiles|visage|visage avec des étoiles à la place des yeux|wow|yeux|star-struck|face affection|Visages et émotions
Visages et émotions	😘	visage envoyant un bisou	amour|baiser|bise|bisou et cœur|bonjour|bonne nuit|cœur|embrasser|émoticône|je t’aime|visage envoyant un bisou|visage qui fait une bise avec un cœur|face blowing a kiss|face affection|Visages et émotions
Visages et émotions	😗	visage faisant un bisou	amour|baiser|bise|bisou|embrasser|émoticône|je t’aime|petit bisou|visage faisant un bisou|visage qui fait une bise|kissing face|face affection|Visages et émotions
Visages et émotions	☺️	visage souriant	content|décontracté|détendu|émoticône|heureux|sourire|visage souriant|visage souriant avec les yeux fermés|smiling face|face affection|Visages et émotions
Visages et émotions	😚	visage faisant un bisou avec les yeux fermés	baiser|bise|bisou|bisou les yeux fermés|embrasser|émoticône|rougir|visage faisant un bisou avec les yeux fermés|visage qui fait une bise avec les yeux fermés|visage rougissant|yeux fermés|kissing face with closed eyes|face affection|Visages et émotions
Visages et émotions	😙	visage aux yeux rieurs faisant un bisou	amour|baiser|bise|bisou|embrasser|émoticône|gros bisou|je t’aime|sourire|visage aux yeux rieurs faisant un bisou|visage aux yeux souriants qui fait une bise|yeux fermés|kissing face with smiling eyes|face affection|Visages et émotions
Visages et émotions	🥲	visage souriant avec une larme	ému|fier|heureux|larme|reconnaissant|smiley|soulagé|souriant|touché|visage souriant avec une larme|smiling face with tear|face affection|Visages et émotions
Visages et émotions	😋	miam	bon|content|délicieux|émoticône|faim|heureux|langue|manger|miam|savourer|sourire|visage souriant qui tire la langue|face savoring food|face tongue|Visages et émotions
Visages et émotions	😛	visage qui tire la langue	cool|émoticône|génial|langue|super|visage|visage qui tire la langue|face with tongue|face tongue|Visages et émotions
Visages et émotions	😜	visage qui tire la langue et fait un clin d’œil	amusant|blague|clin d’œil|émoticône|fou|langue|loufoque|marrant|œil|rigolo|visage|visage qui tire la langue et fait un clin d’œil|winking face with tongue|face tongue|Visages et émotions
Visages et émotions	🤪	tête de fou	grand|large|oeil|œil|petit|tête de fou|tête folle|yeux|yeux fous|zany face|face tongue|Visages et émotions
Visages et émotions	😝	visage qui tire la langue les yeux plissés	dégoûtant|émoticône|goût|horrible|langue|œil|omd|on ne vit qu’une fois|peu importe|visage qui tire la langue et ferme les yeux|visage qui tire la langue les yeux plissés|yeux fermés|squinting face with tongue|face tongue|Visages et émotions
Visages et émotions	🤑	argent dans les yeux et la bouche	argent|argent dans les yeux et la bouche|bouche|dollars|émoticône|yeux|money-mouth face|face tongue|Visages et émotions
Visages et émotions	🤗	visage qui fait un câlin	câlin|émoticône|gentil|mains|visage|visage qui fait un câlin|smiling face with open hands|face hand|Visages et émotions
Visages et émotions	🤭	visage avec une main sur la bouche	malin|oops|oups|rigole|secret|surprise|visage avec main devant la bouche|visage avec une main sur la bouche|face with hand over mouth|face hand|Visages et émotions
Visages et émotions	🫢	visage avec yeux ouverts et main sur la bouche	choqué|embarrassé|étonné|gêné|impressionné|stupéfait|surpris|visage avec yeux ouverts et main sur la bouche|face with open eyes and hand over mouth|face hand|Visages et émotions
Visages et émotions	🫣	visage qui regarde entre ses doigts	captivé|effrayé|fasciné|jeter un coup d’œil|regarder fixement|se cacher|timide|visage qui regarde entre ses doigts|face with peeking eye|face hand|Visages et émotions
